,id,url,type,cost,impression,effect,img
33,CR190576151419158528,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR190576151419158528,Image,500.0,500000.0,1000.0,https://tpc.googlesyndication.com/simgad/18069897173027125297
34,CR192968688721199104,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR192968688721199104,Image,50.0,5000.0,100.0,https://tpc.googlesyndication.com/simgad/2750649808515344881
35,CR19826393672056832,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR19826393672056832,Image,50.0,5000.0,100.0,https://tpc.googlesyndication.com/simgad/16597905888678038745
36,CR207288728161353728,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR207288728161353728,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/16597905888678038745
37,CR216612586764894208,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR216612586764894208,Image,50.0,500000.0,10000.0,https://tpc.googlesyndication.com/simgad/18148810935759575247
39,CR222242086299107328,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR222242086299107328,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/14353919364482329887
41,CR226745685926477824,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR226745685926477824,Image,50.0,5000.0,100.0,https://tpc.googlesyndication.com/simgad/15073812654467191267
42,CR241663859692142592,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR241663859692142592,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/6782221595049527836
43,CR243317525180317696,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR243317525180317696,Image,500.0,500000.0,1000.0,https://tpc.googlesyndication.com/simgad/9104170563592006203
44,CR247856309179777024,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR247856309179777024,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/12996432599747188189
45,CR248384074761109504,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR248384074761109504,Image,500.0,500000.0,1000.0,https://tpc.googlesyndication.com/simgad/4222722556570161139
46,CR252324724435058688,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR252324724435058688,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/11508987281937096004
47,CR253450624341901312,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR253450624341901312,Image,500.0,500000.0,1000.0,https://tpc.googlesyndication.com/simgad/6670860728452482548
48,CR258130145829715968,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR258130145829715968,Image,500.0,500000.0,1000.0,https://tpc.googlesyndication.com/simgad/12052540145765347517
49,CR262704114201264128,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR262704114201264128,Image,50.0,5000.0,100.0,https://tpc.googlesyndication.com/simgad/3846442997193658216
50,CR27144743066533888,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR27144743066533888,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/6162982648025712405
51,CR271465022851383296,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR271465022851383296,Image,50.0,5000.0,100.0,https://tpc.googlesyndication.com/simgad/16597905888678038745
52,CR279346322199281664,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR279346322199281664,Image,500.0,500000.0,1000.0,https://tpc.googlesyndication.com/simgad/4222722556570161139
54,CR298486620615606272,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR298486620615606272,Image,50.0,5000.0,100.0,https://tpc.googlesyndication.com/simgad/18446508697665819203
55,CR299612520522448896,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR299612520522448896,Image,500.0,500000.0,1000.0,https://tpc.googlesyndication.com/simgad/11512206230371436503
56,CR301899504708222976,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR301899504708222976,Image,500.0,500000.0,1000.0,https://tpc.googlesyndication.com/simgad/18069897173027125297
57,CR310871519590875136,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR310871519590875136,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/1910327893874190268
58,CR311610391404740608,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR311610391404740608,Image,50.0,5000.0,100.0,https://tpc.googlesyndication.com/simgad/3846442997193658216
59,CR313827006846337024,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR313827006846337024,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/7387393618914809452
60,CR31648342693904384,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR31648342693904384,Image,50.0,500000.0,10000.0,https://tpc.googlesyndication.com/simgad/15792091731317733706
