,Unnamed: 0,effect,colorfullness,edges,r_mean,r_variance,r_kurtosis,r_skewness,g_mean,g_variance,g_kurtosis,g_skewness,b_mean,b_variance,b_kurtosis,b_skewness,text_len,word_len
count,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0
mean,167.0,1656.8853009234538,76.75866051972923,279.6119402985075,351.6809701492537,8513.633779337868,0.7197160348685375,0.05328506981787175,351.6809701492537,8645.912381801321,0.7301719592894608,0.0540563797956131,351.6809701492537,8337.487611343611,0.6797741455484682,0.05225930915061218,61.06865671641791,4.520610033092321
std,96.85040010242601,6902.071566950449,24.17211751869232,212.13802952223645,212.84713294807062,9667.228903166715,0.9014442510783165,0.06070181185186828,212.84713294807062,9450.742490649542,0.8998357810852954,0.0604882132135831,212.84713294807062,9710.775748838958,0.7743197706681848,0.05542714736212634,34.17590200902247,1.6306735225521853
min,0.0,0.0,15.559411984622463,50.0,58.59375,22.80119323730469,0.00620742654427886,-0.0012850044295191765,58.59375,38.15705871582031,0.0017459456576034427,-0.00011852328316308557,58.59375,48.77914428710938,0.011866200715303421,0.003346946556121111,0.0,0.0
25%,83.5,72.800334505,61.03330411681762,90.0,255.9375,2012.7232666015625,0.20829389244318008,0.02012279350310564,255.9375,2146.769775390625,0.224464550614357,0.02196149341762066,255.9375,1782.7088623046875,0.21526692807674408,0.022453163750469685,37.0,3.7928571428571427
50%,167.0,182.3809524,71.70386354158123,250.0,292.96875,4368.47314453125,0.4571040272712708,0.038126442581415176,292.96875,4865.89794921875,0.4890402555465698,0.03916032239794731,292.96875,4382.64208984375,0.4663259387016296,0.038059193640947335,61.0,4.5
75%,250.5,886.4618643999999,88.24363134064545,600.0,375.0,12018.1943359375,0.7473098039627075,0.05209862813353538,375.0,12927.076171875,0.7519215941429138,0.052671726793050766,375.0,12095.89111328125,0.7577122449874878,0.052587348967790604,83.0,5.21111111111111
max,334.0,77733.0,182.56648357202286,600.0,947.265625,61144.1796875,4.230219841003418,0.2689668834209442,947.265625,61286.69140625,4.2388877868652335,0.26937273144721985,947.265625,61334.94140625,4.242064476013184,0.26952388882637024,160.0,12.0
